,id,dominant_driver,area_ha,year
249,3,4,9.4559,2019
250,3,4,10.21237,2020
251,3,4,17.24755,2021
252,4,1,50746.97965999999,2001
253,4,1,52369.48153999999,2002
254,4,1,27808.863960000002,2003
255,4,1,53260.09200999999,2004
256,4,1,131759.54737,2005
257,4,1,31193.712120000004,2006
258,4,1,26154.211049999998,2007
259,4,1,40511.991420000006,2008
260,4,1,26051.76674,2009
261,4,1,33414.64739,2010
262,4,1,30337.628969999998,2011
263,4,1,45840.08646,2012
264,4,1,39369.830069999996,2013
265,4,1,50158.022520000006,2014
266,4,1,40586.2005,2015
267,4,1,70912.85244999999,2016
268,4,1,68876.216,2017
269,4,1,69335.51063,2018
270,4,1,68782.92632,2019
271,4,1,72789.04735000001,2020
272,4,1,95323.69173,2021
273,4,2,18527.57554,2001
274,4,2,18064.29454,2002
275,4,2,10717.94385,2003
276,4,2,15025.864379999997,2004
277,4,2,41108.683419999994,2005
278,4,2,10359.701200000001,2006
279,4,2,10095.345530000002,2007
280,4,2,15310.51449,2008
281,4,2,10723.661509999998,2009
282,4,2,10260.848859999996,2010
283,4,2,9279.12129,2011
284,4,2,18979.110850000005,2012
285,4,2,13196.684379999999,2013
286,4,2,17124.37219,2014
287,4,2,12845.18896,2015
288,4,2,26801.7363,2016
289,4,2,26480.80648,2017
290,4,2,23760.492890000005,2018
291,4,2,23518.136479999997,2019
292,4,2,25390.561519999996,2020
293,4,2,33394.02461,2021
294,4,4,121.11111000000001,2001
295,4,4,9.60719,2002
296,4,4,27.08168,2003
297,4,4,22.84544,2004
298,4,4,109.15886,2005
299,4,4,19.59262,2006
300,4,4,28.0651,2007
301,4,4,13.23825,2008
302,4,4,8.92637,2009
303,4,4,43.49712,2010
304,4,4,42.81629,2011
305,4,4,39.71476,2012
306,4,4,87.82636,2013
307,4,4,38.12617,2014
308,4,4,21.3325,2015
309,4,4,74.28551999999999,2016
310,4,4,95.31543,2017
311,4,4,36.15934,2018
312,4,4,9.4559,2019
313,4,4,10.21237,2020
314,4,4,17.24755,2021
315,5,1,50746.97965999999,2001
316,5,1,52369.48153999999,2002
317,5,1,27808.863960000002,2003
318,5,1,53260.09200999999,2004
319,5,1,131759.54737,2005
320,5,1,31193.712120000004,2006
321,5,1,26154.211049999998,2007
322,5,1,40511.991420000006,2008
323,5,1,26051.76674,2009
324,5,1,33414.64739,2010
325,5,1,30337.628969999998,2011
326,5,1,45840.08646,2012
327,5,1,39369.830069999996,2013
328,5,1,50158.022520000006,2014
329,5,1,40586.2005,2015
330,5,1,70912.85244999999,2016
331,5,1,68876.216,2017
332,5,1,69335.51063,2018
333,5,1,68782.92632,2019
334,5,1,72789.04735000001,2020
335,5,1,95323.69173,2021
336,5,2,18527.57554,2001
337,5,2,18064.29454,2002
338,5,2,10717.94385,2003
339,5,2,15025.864379999997,2004
340,5,2,41108.683419999994,2005
341,5,2,10359.701200000001,2006
342,5,2,10095.345530000002,2007
343,5,2,15310.51449,2008
344,5,2,10723.661509999998,2009
345,5,2,10260.848859999996,2010
346,5,2,9279.12129,2011
347,5,2,18979.110850000005,2012
348,5,2,13196.684379999999,2013
349,5,2,17124.37219,2014
350,5,2,12845.18896,2015
351,5,2,26801.7363,2016
352,5,2,26480.80648,2017
353,5,2,23760.492890000005,2018
354,5,2,23518.136479999997,2019
355,5,2,25390.561519999996,2020
356,5,2,33394.02461,2021
357,5,4,121.11111000000001,2001
358,5,4,9.60719,2002
359,5,4,27.08168,2003
360,5,4,22.84544,2004
361,5,4,109.15886,2005
362,5,4,19.59262,2006
363,5,4,28.0651,2007
364,5,4,13.23825,2008
365,5,4,8.92637,2009
366,5,4,43.49712,2010
367,5,4,42.81629,2011
368,5,4,39.71476,2012
369,5,4,87.82636,2013
370,5,4,38.12617,2014
371,5,4,21.3325,2015
372,5,4,74.28551999999999,2016
373,5,4,95.31543,2017
374,5,4,36.15934,2018
375,5,4,9.4559,2019
376,5,4,10.21237,2020
377,5,4,17.24755,2021
378,6,1,50746.97965999999,2001
379,6,1,52369.48153999999,2002
380,6,1,27808.863960000002,2003
381,6,1,53260.09200999999,2004
382,6,1,131759.54737,2005
383,6,1,31193.712120000004,2006
384,6,1,26154.211049999998,2007
385,6,1,40511.991420000006,2008
386,6,1,26051.76674,2009
387,6,1,33414.64739,2010
388,6,1,30337.628969999998,2011
389,6,1,45840.08646,2012
390,6,1,39369.830069999996,2013
391,6,1,50158.022520000006,2014
392,6,1,40586.2005,2015
393,6,1,70912.85244999999,2016
394,6,1,68876.216,2017
395,6,1,69335.51063,2018
396,6,1,68782.92632,2019
397,6,1,72789.04735000001,2020
398,6,1,95323.69173,2021
399,6,2,18527.57554,2001
400,6,2,18064.29454,2002
401,6,2,10717.94385,2003
402,6,2,15025.864379999997,2004
403,6,2,41108.683419999994,2005
404,6,2,10359.701200000001,2006
405,6,2,10095.345530000002,2007
406,6,2,15310.51449,2008
407,6,2,10723.661509999998,2009
408,6,2,10260.848859999996,2010
409,6,2,9279.12129,2011
410,6,2,18979.110850000005,2012
411,6,2,13196.684379999999,2013
412,6,2,17124.37219,2014
413,6,2,12845.18896,2015
414,6,2,26801.7363,2016
415,6,2,26480.80648,2017
416,6,2,23760.492890000005,2018
417,6,2,23518.136479999997,2019
418,6,2,25390.561519999996,2020
419,6,2,33394.02461,2021
420,6,4,121.11111000000001,2001
421,6,4,9.60719,2002
422,6,4,27.08168,2003
423,6,4,22.84544,2004
424,6,4,109.15886,2005
425,6,4,19.59262,2006
426,6,4,28.0651,2007
427,6,4,13.23825,2008
428,6,4,8.92637,2009
429,6,4,43.49712,2010
430,6,4,42.81629,2011
431,6,4,39.71476,2012
432,6,4,87.82636,2013
433,6,4,38.12617,2014
434,6,4,21.3325,2015
435,6,4,74.28551999999999,2016
436,6,4,95.31543,2017
437,6,4,36.15934,2018
438,6,4,9.4559,2019
439,6,4,10.21237,2020
440,6,4,17.24755,2021
441,7,1,50746.97965999999,2001
442,7,1,52369.48153999999,2002
443,7,1,27808.863960000002,2003
444,7,1,53260.09200999999,2004
445,7,1,131759.54737,2005
446,7,1,31193.712120000004,2006
447,7,1,26154.211049999998,2007
448,7,1,40511.991420000006,2008
449,7,1,26051.76674,2009
450,7,1,33414.64739,2010
451,7,1,30337.628969999998,2011
452,7,1,45840.08646,2012
453,7,1,39369.830069999996,2013
454,7,1,50158.022520000006,2014
455,7,1,40586.2005,2015
456,7,1,70912.85244999999,2016
457,7,1,68876.216,2017
458,7,1,69335.51063,2018
459,7,1,68782.92632,2019
460,7,1,72789.04735000001,2020
461,7,1,95323.69173,2021
462,7,2,18527.57554,2001
463,7,2,18064.29454,2002
464,7,2,10717.94385,2003
465,7,2,15025.864379999997,2004
466,7,2,41108.683419999994,2005
467,7,2,10359.701200000001,2006
468,7,2,10095.345530000002,2007
469,7,2,15310.51449,2008
470,7,2,10723.661509999998,2009
471,7,2,10260.848859999996,2010
472,7,2,9279.12129,2011
473,7,2,18979.110850000005,2012
474,7,2,13196.684379999999,2013
475,7,2,17124.37219,2014
476,7,2,12845.18896,2015
477,7,2,26801.7363,2016
478,7,2,26480.80648,2017
479,7,2,23760.492890000005,2018
480,7,2,23518.136479999997,2019
481,7,2,25390.561519999996,2020
482,7,2,33394.02461,2021
483,7,4,121.11111000000001,2001
484,7,4,9.60719,2002
485,7,4,27.08168,2003
486,7,4,22.84544,2004
487,7,4,109.15886,2005
488,7,4,19.59262,2006
489,7,4,28.0651,2007
490,7,4,13.23825,2008
491,7,4,8.92637,2009
492,7,4,43.49712,2010
493,7,4,42.81629,2011
494,7,4,39.71476,2012
495,7,4,87.82636,2013
496,7,4,38.12617,2014
497,7,4,21.3325,2015
498,7,4,74.28551999999999,2016
499,7,4,95.31543,2017
500,7,4,36.15934,2018
501,7,4,9.4559,2019
502,7,4,10.21237,2020
503,7,4,17.24755,2021
504,8,1,50746.97965999999,2001
505,8,1,52369.48153999999,2002
506,8,1,27808.863960000002,2003
507,8,1,53260.09200999999,2004
508,8,1,131759.54737,2005
509,8,1,31193.712120000004,2006
510,8,1,26154.211049999998,2007
511,8,1,40511.991420000006,2008
512,8,1,26051.76674,2009
513,8,1,33414.64739,2010
514,8,1,30337.628969999998,2011
515,8,1,45840.08646,2012
516,8,1,39369.830069999996,2013
517,8,1,50158.022520000006,2014
518,8,1,40586.2005,2015
519,8,1,70912.85244999999,2016
520,8,1,68876.216,2017
521,8,1,69335.51063,2018
522,8,1,68782.92632,2019
523,8,1,72789.04735000001,2020
524,8,1,95323.69173,2021
525,8,2,18527.57554,2001
526,8,2,18064.29454,2002
527,8,2,10717.94385,2003
528,8,2,15025.864379999997,2004
529,8,2,41108.683419999994,2005
530,8,2,10359.701200000001,2006
531,8,2,10095.345530000002,2007
532,8,2,15310.51449,2008
533,8,2,10723.661509999998,2009
534,8,2,10260.848859999996,2010
535,8,2,9279.12129,2011
536,8,2,18979.110850000005,2012
537,8,2,13196.684379999999,2013
538,8,2,17124.37219,2014
539,8,2,12845.18896,2015
540,8,2,26801.7363,2016
